Array's before assembler replace:
A[0]: 0; B[346]: 0
A[557]: 0; B[28889]: 557
A[558]: 0; B[9627]: 558
A[559]: 0; B[6924]: 559
A[560]: 0; B[11246]: 560
A[561]: 0; B[14114]: 561
A[562]: 0; B[28239]: 562
A[563]: 0; B[7339]: 563
A[564]: 0; B[32587]: 564
A[565]: 0; B[28549]: 565
A[566]: 0; B[32348]: 566
A[567]: 0; B[30342]: 567
A[568]: 0; B[2899]: 568
A[569]: 0; B[30711]: 569
A[570]: 0; B[7177]: 570
A[571]: 0; B[29784]: 571
A[572]: 0; B[5418]: 572
A[573]: 0; B[7206]: 573
A[574]: 0; B[26686]: 574
A[575]: 0; B[32662]: 575
A[576]: 0; B[4143]: 576
A[577]: 0; B[18309]: 577
A[578]: 0; B[25351]: 578
A[579]: 0; B[21779]: 579
A[580]: 0; B[8857]: 580
A[581]: 0; B[406]: 581
A[582]: 0; B[20300]: 582
A[583]: 0; B[29426]: 583
A[584]: 0; B[20303]: 584
A[585]: 0; B[8311]: 585
A[586]: 0; B[20943]: 586
A[587]: 0; B[19153]: 587
A[588]: 0; B[16652]: 588
A[589]: 0; B[23984]: 589
A[590]: 0; B[26470]: 590
A[591]: 0; B[1075]: 591
A[592]: 0; B[29363]: 592
A[593]: 0; B[14652]: 593
A[594]: 0; B[3707]: 594
A[595]: 0; B[23342]: 595
A[596]: 0; B[12528]: 596
A[597]: 0; B[22229]: 597
A[598]: 0; B[16321]: 598
A[599]: 0; B[26455]: 599
A[600]: 0; B[12561]: 600
A[601]: 0; B[16772]: 601
A[602]: 0; B[4664]: 602
A[603]: 0; B[22251]: 603
A[604]: 0; B[14627]: 604
A[605]: 0; B[16745]: 605
A[606]: 0; B[9828]: 606
A[607]: 0; B[27199]: 607
A[608]: 0; B[5457]: 608
A[609]: 0; B[12232]: 609
A[610]: 0; B[13513]: 610
A[611]: 0; B[15210]: 611
A[612]: 0; B[22137]: 612
A[613]: 0; B[30038]: 613
A[614]: 0; B[23467]: 614
A[615]: 0; B[7728]: 615
A[616]: 0; B[5647]: 616
A[617]: 0; B[7874]: 617
A[618]: 0; B[2052]: 618
A[619]: 0; B[9266]: 619
A[620]: 0; B[15159]: 620
A[621]: 0; B[13190]: 621
A[622]: 0; B[5573]: 622
A[623]: 0; B[4436]: 623
A[624]: 0; B[32030]: 624
A[625]: 0; B[15087]: 625
A[626]: 0; B[850]: 626
A[627]: 0; B[19567]: 627
A[628]: 0; B[7834]: 628
A[629]: 0; B[7018]: 629
A[630]: 0; B[21560]: 630
A[631]: 0; B[6200]: 631
A[632]: 0; B[7938]: 632
A[633]: 0; B[16402]: 633
A[634]: 0; B[32561]: 634
A[635]: 0; B[8304]: 635
A[636]: 0; B[23631]: 636
A[637]: 0; B[12407]: 637
A[638]: 0; B[858]: 638
A[639]: 0; B[10062]: 639
A[640]: 0; B[25203]: 640
A[641]: 0; B[1713]: 641
A[642]: 0; B[179]: 642
A[643]: 0; B[24362]: 643
A[644]: 0; B[25593]: 644
A[645]: 0; B[28582]: 645
A[646]: 0; B[28631]: 646
A[647]: 0; B[15467]: 647
A[648]: 0; B[6111]: 648
A[649]: 0; B[8600]: 649
A[650]: 0; B[21758]: 650
A[651]: 0; B[19378]: 651
A[652]: 0; B[30897]: 652
A[653]: 0; B[29938]: 653
A[654]: 0; B[2608]: 654
A[655]: 0; B[22599]: 655
A[656]: 0; B[8422]: 656
A[657]: 0; B[2899]: 657
A[658]: 0; B[31947]: 658
A[659]: 0; B[28357]: 659
A[660]: 0; B[16511]: 660
A[661]: 0; B[12507]: 661
A[662]: 0; B[31288]: 662
A[663]: 0; B[2050]: 663
A[664]: 0; B[26590]: 664
A[665]: 0; B[25526]: 665
A[666]: 0; B[26602]: 666
A[667]: 0; B[26689]: 667
A[668]: 0; B[9188]: 668
A[669]: 0; B[11752]: 669
A[670]: 0; B[664]: 670
A[671]: 0; B[32411]: 671
A[672]: 0; B[10063]: 672
A[673]: 0; B[15704]: 673
A[674]: 0; B[187]: 674
A[675]: 0; B[20651]: 675
A[676]: 0; B[32082]: 676
A[677]: 0; B[26142]: 677
A[678]: 0; B[13386]: 678
A[679]: 0; B[15993]: 679
A[680]: 0; B[374]: 680
A[681]: 0; B[31505]: 681
A[682]: 0; B[1972]: 682
A[683]: 0; B[10921]: 683
A[684]: 0; B[6321]: 684
A[685]: 0; B[10380]: 685
A[686]: 0; B[29215]: 686
A[687]: 0; B[21221]: 687
A[688]: 0; B[26564]: 688
A[689]: 0; B[15745]: 689
A[690]: 0; B[16096]: 690
A[691]: 0; B[25735]: 691
A[692]: 0; B[730]: 692
A[693]: 0; B[3778]: 693
A[694]: 0; B[17467]: 694
A[695]: 0; B[6539]: 695
A[696]: 0; B[21086]: 696
A[697]: 0; B[24715]: 697
A[698]: 0; B[25948]: 698
A[699]: 0; B[27061]: 699
A[700]: 0; B[10524]: 700
A[701]: 0; B[595]: 701
A[702]: 0; B[31637]: 702
A[703]: 0; B[7166]: 703
A[704]: 0; B[18332]: 704
A[705]: 0; B[2259]: 705
A[706]: 0; B[730]: 706
A[707]: 0; B[17477]: 707
A[708]: 0; B[18620]: 708
A[709]: 0; B[21080]: 709
A[710]: 0; B[9594]: 710
A[711]: 0; B[31027]: 711
A[712]: 0; B[13196]: 712
A[713]: 0; B[16710]: 713
A[714]: 0; B[800]: 714
A[715]: 0; B[20079]: 715
A[716]: 0; B[11887]: 716
A[717]: 0; B[22765]: 717
A[718]: 0; B[20233]: 718
A[719]: 0; B[24324]: 719
A[720]: 0; B[3951]: 720
A[721]: 0; B[10385]: 721
A[722]: 0; B[8583]: 722
A[723]: 0; B[29711]: 723
A[724]: 0; B[17888]: 724
A[725]: 0; B[12468]: 725
A[726]: 0; B[6327]: 726
A[727]: 0; B[5037]: 727
A[728]: 0; B[22841]: 728
A[729]: 0; B[11942]: 729
A[730]: 0; B[9343]: 730
A[731]: 0; B[1060]: 731
A[732]: 0; B[31023]: 732
A[733]: 0; B[31312]: 733
A[734]: 0; B[6603]: 734
A[735]: 0; B[3920]: 735
A[736]: 0; B[23315]: 736
A[737]: 0; B[25149]: 737
A[738]: 0; B[26888]: 738
A[739]: 0; B[4688]: 739
A[740]: 0; B[24685]: 740
A[741]: 0; B[12778]: 741
A[742]: 0; B[5088]: 742
A[743]: 0; B[9586]: 743
A[744]: 0; B[17114]: 744
A[745]: 0; B[20047]: 745
A[746]: 0; B[15928]: 746
A[747]: 0; B[26717]: 747
A[748]: 0; B[16675]: 748
A[749]: 0; B[5293]: 749
A[750]: 0; B[30312]: 750
A[751]: 0; B[15997]: 751
A[752]: 0; B[2463]: 752
A[753]: 0; B[26522]: 753
A[754]: 0; B[4282]: 754
A[755]: 0; B[1972]: 755
A[756]: 0; B[24011]: 756
A[757]: 0; B[5707]: 757
A[758]: 0; B[12837]: 758
A[759]: 0; B[8510]: 759
A[760]: 0; B[11047]: 760
A[761]: 0; B[2594]: 761
A[762]: 0; B[26186]: 762
A[763]: 0; B[15077]: 763
A[764]: 0; B[5459]: 764
A[765]: 0; B[26232]: 765
A[766]: 0; B[23728]: 766
A[767]: 0; B[19559]: 767
A[768]: 0; B[11626]: 768
A[769]: 0; B[1708]: 769
A[770]: 0; B[10556]: 770
A[771]: 0; B[14117]: 771
A[772]: 0; B[21151]: 772
A[773]: 0; B[1644]: 773
A[774]: 0; B[9204]: 774
A[775]: 0; B[24589]: 775
A[776]: 0; B[30743]: 776
A[777]: 0; B[16451]: 777
A[778]: 0; B[17397]: 778
A[779]: 0; B[19913]: 779
A[780]: 0; B[19462]: 780
A[781]: 0; B[28260]: 781
A[782]: 0; B[4530]: 782
A[783]: 0; B[5929]: 783
A[784]: 0; B[31756]: 784
A[785]: 0; B[22965]: 785
A[786]: 0; B[3183]: 786
A[787]: 0; B[11726]: 787
A[788]: 0; B[4818]: 788
A[789]: 0; B[17183]: 789
A[790]: 0; B[7933]: 790
A[791]: 0; B[20760]: 791
A[792]: 0; B[10976]: 792
A[793]: 0; B[29461]: 793
A[794]: 0; B[32695]: 794
A[795]: 0; B[13650]: 795
A[796]: 0; B[29378]: 796
A[797]: 0; B[7011]: 797
A[798]: 0; B[6077]: 798
A[799]: 0; B[11037]: 799
A[800]: 0; B[15964]: 800
A[801]: 0; B[30521]: 801
A[802]: 0; B[19824]: 802
A[803]: 0; B[21274]: 803
A[804]: 0; B[8585]: 804
A[805]: 0; B[21879]: 805
A[806]: 0; B[20014]: 806
A[807]: 0; B[10715]: 807
A[808]: 0; B[20475]: 808
A[809]: 0; B[31035]: 809
A[810]: 0; B[13135]: 810
A[811]: 0; B[30732]: 811
A[812]: 0; B[15951]: 812
A[813]: 0; B[31912]: 813
A[814]: 0; B[7776]: 814
A[815]: 0; B[29406]: 815
A[816]: 0; B[16495]: 816
A[817]: 0; B[8697]: 817
A[818]: 0; B[10398]: 818
A[819]: 0; B[6325]: 819
A[820]: 0; B[8493]: 820
A[821]: 0; B[16071]: 821
A[822]: 0; B[16822]: 822
